ind,attr,val
3048,14,SCIP-INF-6
3048,15,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor)
3048,16,100%
3048,17,371 patients
3048,18,AZ_SCIP-INF-6
3057,2,30103
3057,3,MAYO CLINIC HOSPITAL
3057,4,5777 EAST MAYO BOULEVARD
3057,5,PHOENIX
3057,6,AZ
3057,7,85054
3057,8,MARICOPA
3057,9,4805156296
3057,10,Acute Care Hospitals
3057,11,Voluntary non-profit - Private
3057,12,Yes
3057,13,Heart Attack
3057,14,AMI-8A
3057,15,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
3057,16,97%
3057,17,31 patients
3057,18,AZ_AMI-8A
3089,2,40134
3089,3,ARKANSAS HEART HOSPITAL
3089,4,1701 S SHACKLEFORD RD
3089,5,LITTLE ROCK
3089,6,AR
3089,7,72211
3089,8,PULASKI
3089,9,5012197000
3089,10,Acute Care Hospitals
3089,11,Proprietary
3089,12,Yes
3089,13,Surgical Infection Prevention
3089,14,SCIP-INF-6
3089,15,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor)
3089,16,99%
3089,17,871 patients
3089,18,AR_SCIP-INF-6
3096,2,40137
3096,3,ST VINCENT MEDICAL CTR NORTH
3096,4,2215 WILDWOOD AVENUE
3096,5,SHERWOOD
3096,6,AR
3096,7,72120
3096,8,PULASKI
3096,9,5015527100
3096,10,Acute Care Hospitals
3096,11,Voluntary non-profit - Private
3096,12,Yes
3096,13,Heart Attack
3096,14,AMI-5
3096,15,Heart Attack Patients Given Beta Blocker at Discharge
3096,16,75%
3096,17,8 patients
3096,18,AR_AMI-5
3099,2,40137
3099,3,ST VINCENT MEDICAL CTR NORTH
3099,4,2215 WILDWOOD AVENUE
3099,5,SHERWOOD
3099,6,AR
3099,7,72120
3099,8,PULASKI
3099,9,5015527100
3099,10,Acute Care Hospitals
3099,11,Voluntary non-profit - Private
3099,12,Yes
3099,13,Heart Failure
3099,14,HF-1
3099,15,Heart Failure Patients Given Discharge Instructions
3099,16,76%
3099,17,95 patients
3099,18,AR_HF-1
3111,2,41313
3111,3,OZARK HEALTH
3111,4,2500 HIGHWAY 65 SOUTH
3111,5,CLINTON
3111,6,AR
3111,7,72031
3111,8,VAN BUREN
3111,9,5017457004
3111,10,Critical Access Hospitals
3111,11,Government - Local
3111,12,Yes
3111,13,Heart Failure
3111,14,HF-4
3111,15,Heart Failure Patients Given Smoking Cessation Advice/Counseling
3111,16,100%
3111,17,6 patients
3111,18,AR_HF-4
3112,2,41313
3112,3,OZARK HEALTH
3112,4,2500 HIGHWAY 65 SOUTH
3112,5,CLINTON
3112,6,AR
3112,7,72031
3112,8,VAN BUREN
3112,9,5017457004
3112,10,Critical Access Hospitals
3112,11,Government - Local
3112,12,Yes
3112,13,Pneumonia
3112,14,PN-2
3112,15,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
3112,16,89%
3112,17,97 patients
3112,18,AR_PN-2
3117,2,41313
3117,3,OZARK HEALTH
3117,4,2500 HIGHWAY 65 SOUTH
3117,5,CLINTON
3117,6,AR
3117,7,72031
3117,8,VAN BUREN
3117,9,5017457004
3117,10,Critical Access Hospitals
3117,11,Government - Local
3117,12,Yes
3117,13,Pneumonia
3117,14,PN-7
3117,15,Pneumonia Patients Assessed and Given Influenza Vaccination
3117,16,87%
3117,17,61 patients
3117,18,AR_PN-7
3139,2,50025
3139,3,UNIV OF CALIFORNIA SAN DIEGO MED CTR
3139,4,200 WEST ARBOR DRIVE
3139,5,SAN DIEGO
3139,6,CA
3139,7,92103
3139,8,SAN DIEGO
3139,9,6195436737
3139,10,Acute Care Hospitals
3139,11,Government - State
3139,12,Yes
3139,13,Surgical Infection Prevention
3139,14,SCIP-INF-3
3139,15,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
3139,16,97%
3139,17,318 patients
3139,18,CA_SCIP-INF-3
3146,2,50054
3146,3,SAN GORGONIO MEMORIAL HOSPITAL
3146,4,600 NORTH HIGHLAND SPRINGS AVENUE
3146,5,BANNING
3146,6,CA
3146,7,92220
3146,8,RIVERSIDE
3146,9,9517692101
3146,10,Acute Care Hospitals
3146,11,Government - Hospital District or Authority
3146,12,Yes
3146,13,Pneumonia
3146,14,PN-3B
3146,15,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
3146,16,81%
3146,17,127 patients
3146,18,CA_PN-3B
3294,2,30022
3294,3,MARICOPA MEDICAL CENTER
3294,4,2601 EAST ROOSEVELT STREET
3294,5,PHOENIX
3294,6,AZ
3294,7,85008
3294,8,MARICOPA
3294,9,6023445011
3294,10,Acute Care Hospitals
3294,11,Government - Local
3294,12,Yes
3294,13,Pneumonia
3294,14,PN-7
3294,15,Pneumonia Patients Assessed and Given Influenza Vaccination
3294,16,73%
3294,17,66 patients
3294,18,AZ_PN-7
3160,2,30011
3160,3,CARONDELET ST JOSEPHS HOSPITAL
3160,4,350 NORTH WILMOT ROAD
3160,5,TUCSON
3160,6,AZ
3160,7,85711
3160,8,PIMA
3160,9,5208733000
3160,10,Acute Care Hospitals
3160,11,Voluntary non-profit - Church
3160,12,Yes
3160,13,Heart Failure
3160,14,HF-1
3160,15,Heart Failure Patients Given Discharge Instructions
3160,16,48%
3160,17,223 patients
3160,18,AZ_HF-1
3186,2,30012
3186,3,YAVAPAI REGIONAL MEDICAL CENTER
3186,4,1003 WILLOW CREEK ROAD
3186,5,PRESCOTT
3186,6,AZ
3186,7,86301
3186,8,YAVAPAI
3186,9,9284452700
3186,10,Acute Care Hospitals
3186,11,Voluntary non-profit - Other
3186,12,Yes
3186,13,Heart Failure
3186,14,HF-2
3186,15,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
3186,16,97%
3186,17,179 patients
3186,18,AZ_HF-2
3191,2,30012
3191,3,YAVAPAI REGIONAL MEDICAL CENTER
3191,4,1003 WILLOW CREEK ROAD
3191,5,PRESCOTT
3191,6,AZ
3191,7,86301
3191,8,YAVAPAI
3191,9,9284452700
3191,10,Acute Care Hospitals
3191,11,Voluntary non-profit - Other
3191,12,Yes
3191,13,Pneumonia
3191,14,PN-4
3191,15,Pneumonia Patients Given Smoking Cessation Advice/Counseling
3191,16,100%
3191,17,40 patients
3191,18,AZ_PN-4
3200,2,30012
3200,3,YAVAPAI REGIONAL MEDICAL CENTER
3200,4,1003 WILLOW CREEK ROAD
3200,5,PRESCOTT
3200,6,AZ
3200,7,86301
3200,8,YAVAPAI
3200,9,9284452700
3200,10,Acute Care Hospitals
3200,11,Voluntary non-profit - Other
3200,12,Yes
3200,13,Surgical Infection Prevention
3200,14,SCIP-INF-6
3200,15,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor)
3200,16,100%
3200,17,580 patients
3200,18,AZ_SCIP-INF-6
3202,2,30012
3202,3,YAVAPAI REGIONAL MEDICAL CENTER
3202,4,1003 WILLOW CREEK ROAD
3202,5,PRESCOTT
3202,6,AZ
3202,7,86301
3202,8,YAVAPAI
3202,9,9284452700
3202,10,Acute Care Hospitals
3202,11,Voluntary non-profit - Other
3202,12,Yes
3202,13,Surgical Infection Prevention
3202,14,SCIP-VTE-2
3202,15,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
3202,16,97%
3202,17,185 patients
3202,18,AZ_SCIP-VTE-2
3232,2,30014
3232,3,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL
3232,4,250 EAST DUNLAP AVENUE
3232,5,PHOENIX
3232,6,AZ
3232,7,85020
3232,8,MARICOPA
3232,9,6028706060
3232,10,Acute Care Hospitals
3232,11,Voluntary non-profit - Private
3232,12,Yes
3232,13,Heart Attack
3232,14,AMI-5
3232,15,Heart Attack Patients Given Beta Blocker at Discharge
3232,16,99%
3232,17,143 patients
3232,18,AZ_AMI-5
3236,2,30014
3236,3,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL
3236,4,250 EAST DUNLAP AVENUE
3236,5,PHOENIX
3236,6,AZ
3236,7,85020
3236,8,MARICOPA
3236,9,6028706060
3236,10,Acute Care Hospitals
3236,11,Voluntary non-profit - Private
3236,12,Yes
3236,13,Heart Failure
3236,14,HF-2
3236,15,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
3236,16,100%
3236,17,238 patients
3236,18,AZ_HF-2
3238,2,30014
3238,3,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL
3238,4,250 EAST DUNLAP AVENUE
3238,5,PHOENIX
3238,6,AZ
3238,7,85020
3238,8,MARICOPA
3238,9,6028706060
3238,10,Acute Care Hospitals
3238,11,Voluntary non-profit - Private
3238,12,Yes
3238,13,Heart Failure
3238,14,HF-4
3238,15,Heart Failure Patients Given Smoking Cessation Advice/Counseling
3238,16,100%
3238,17,50 patients
3238,18,AZ_HF-4
3247,2,30014
3247,3,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL
3247,4,250 EAST DUNLAP AVENUE
3247,5,PHOENIX
3247,6,AZ
3247,7,85020
3247,8,MARICOPA
3247,9,6028706060
3247,10,Acute Care Hospitals
3247,11,Voluntary non-profit - Private
3247,12,Yes
3247,13,Surgical Infection Prevention
3247,14,SCIP-INF-2
3247,15,surgery patients who were given the  right kind  of antibiotic to help prevent infection
3247,16,94%
3247,17,409 patients
3247,18,AZ_SCIP-INF-2
3249,2,30014
3249,3,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL
3249,4,250 EAST DUNLAP AVENUE
3249,5,PHOENIX
3249,6,AZ
3249,7,85020
3249,8,MARICOPA
3249,9,6028706060
3249,10,Acute Care Hospitals
3249,11,Voluntary non-profit - Private
3249,12,Yes
3249,13,Surgical Infection Prevention
3249,14,SCIP-INF-4
3249,15,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
3249,16,100%
3249,17,100 patients
3249,18,AZ_SCIP-INF-4
3254,2,30016
3254,3,CASA GRANDE REGIONAL MEDICAL CENTER
3254,4,1800 EAST FLORENCE BOULEVARD
3254,5,CASA GRANDE
3254,6,AZ
3254,7,85222
3254,8,PINAL
3254,9,5203816453
3254,10,Acute Care Hospitals
3254,11,Voluntary non-profit - Other
3254,12,Yes
3254,13,Heart Attack
3254,14,AMI-2
3254,15,Heart Attack Patients Given Aspirin at Discharge
3254,16,94%
3254,17,16 patients
3254,18,AZ_AMI-2
3281,2,30022
3281,3,MARICOPA MEDICAL CENTER
3281,4,2601 EAST ROOSEVELT STREET
3281,5,PHOENIX
3281,6,AZ
3281,7,85008
3281,8,MARICOPA
3281,9,6023445011
3281,10,Acute Care Hospitals
3281,11,Government - Local
3281,12,Yes
3281,13,Heart Attack
3281,14,AMI-4
3281,15,Heart Attack Patients Given Smoking Cessation Advice/Counseling
3281,16,92%
3281,17,24 patients
3281,18,AZ_AMI-4
3283,2,30022
3283,3,MARICOPA MEDICAL CENTER
3283,4,2601 EAST ROOSEVELT STREET
3283,5,PHOENIX
3283,6,AZ
3283,7,85008
3283,8,MARICOPA
3283,9,6023445011
3283,10,Acute Care Hospitals
3283,11,Government - Local
3283,12,Yes
3283,13,Heart Attack
3283,14,AMI-7A
3283,15,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
3283,16,
3283,17,0 patients
3283,18,AZ_AMI-7A
3300,2,30022
3300,3,MARICOPA MEDICAL CENTER
3300,4,2601 EAST ROOSEVELT STREET
3300,5,PHOENIX
3300,6,AZ
3300,7,85008
3300,8,MARICOPA
3300,9,6023445011
3300,10,Acute Care Hospitals
3300,11,Government - Local
3300,12,Yes
3300,13,Surgical Infection Prevention
3300,14,SCIP-INF-6
3300,15,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor)
3300,16,99%
3300,17,235 patients
3300,18,AZ_SCIP-INF-6
3302,2,30022
3302,3,MARICOPA MEDICAL CENTER
3302,4,2601 EAST ROOSEVELT STREET
3302,5,PHOENIX
3302,6,AZ
3302,7,85008
3302,8,MARICOPA
3302,9,6023445011
3302,10,Acute Care Hospitals
3302,11,Government - Local
3302,12,Yes
3302,13,Surgical Infection Prevention
3302,14,SCIP-VTE-2
3302,15,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
3302,16,73%
3302,17,128 patients
3302,18,AZ_SCIP-VTE-2
3303,2,30023
3303,3,FLAGSTAFF MEDICAL CENTER
3303,4,1200 NORTH BEAVER STREET
3303,5,FLAGSTAFF
3303,6,AZ
3303,7,86001
3303,8,COCONINO
3303,9,9287732009
3303,10,Acute Care Hospitals
3303,11,Voluntary non-profit - Private
3303,12,Yes
3303,13,Heart Attack
3303,14,AMI-1
3303,15,Heart Attack Patients Given Aspirin at Arrival
3303,16,99%
3303,17,82 patients
3303,18,AZ_AMI-1
3322,2,30023
3322,3,FLAGSTAFF MEDICAL CENTER
3322,4,1200 NORTH BEAVER STREET
3322,5,FLAGSTAFF
3322,6,AZ
3322,7,86001
3322,8,COCONINO
3322,9,9287732009
3322,10,Acute Care Hospitals
3322,11,Voluntary non-profit - Private
3322,12,Yes
3322,13,Surgical Infection Prevention
3322,14,SCIP-INF-2
3322,15,surgery patients who were given the  right kind  of antibiotic to help prevent infection
3322,16,97%
3322,17,441 patients
3322,18,AZ_SCIP-INF-2
3348,2,30024
3348,3,ST JOSEPH-S HOSPITAL AND MEDICAL CENTER
3348,4,350 WEST THOMAS ROAD
3348,5,PHOENIX
3348,6,AZ
3348,7,85013
3348,8,MARICOPA
3348,9,6024063000
3348,10,Acute Care Hospitals
3348,11,Voluntary non-profit - Church
3348,12,Yes
3348,13,Surgical Infection Prevention
3348,14,SCIP-INF-3
3348,15,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
3348,16,84%
3348,17,307 patients
3348,18,AZ_SCIP-INF-3
3351,2,30024
3351,3,ST JOSEPH-S HOSPITAL AND MEDICAL CENTER
3351,4,350 WEST THOMAS ROAD
3351,5,PHOENIX
3351,6,AZ
3351,7,85013
3351,8,MARICOPA
3351,9,6024063000
3351,10,Acute Care Hospitals
3351,11,Voluntary non-profit - Church
3351,12,Yes
3351,13,Surgical Infection Prevention
3351,14,SCIP-VTE-1
3351,15,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
3351,16,92%
3351,17,226 patients
3351,18,AZ_SCIP-VTE-1
3354,2,30030
3354,3,PHOENIX BAPTIST HOSPITAL
3354,4,2000 WEST BETHANY HOME ROAD
3354,5,PHOENIX
3354,6,AZ
3354,7,85015
3354,8,MARICOPA
3354,9,6022490212
3354,10,Acute Care Hospitals
3354,11,Proprietary
3354,12,Yes
3354,13,Heart Attack
3354,14,AMI-2
3354,15,Heart Attack Patients Given Aspirin at Discharge
3354,16,98%
3354,17,117 patients
3354,18,AZ_AMI-2
3355,2,30030
3355,3,PHOENIX BAPTIST HOSPITAL
3355,4,2000 WEST BETHANY HOME ROAD
3355,5,PHOENIX
3355,6,AZ
3355,7,85015
3355,8,MARICOPA
3355,9,6022490212
3355,10,Acute Care Hospitals
3355,11,Proprietary
3355,12,Yes
3355,13,Heart Attack
3355,14,AMI-3
3355,15,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
3355,16,97%
3355,17,33 patients
3355,18,AZ_AMI-3
3387,2,30033
3387,3,PAYSON REGIONAL MEDICAL CENTER
3387,4,807 SOUTH PONDEROSA DRIVE
3387,5,PAYSON
3387,6,AZ
3387,7,85541
3387,8,GILA
3387,9,9284743222
3387,10,Acute Care Hospitals
3387,11,Voluntary non-profit - Other
3387,12,Yes
3387,13,Heart Failure
3387,14,HF-3
3387,15,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
3387,16,100%
3387,17,15 patients
3387,18,AZ_HF-3
3389,2,30033
3389,3,PAYSON REGIONAL MEDICAL CENTER
3389,4,807 SOUTH PONDEROSA DRIVE
3389,5,PAYSON
3389,6,AZ
3389,7,85541
3389,8,GILA
3389,9,9284743222
3389,10,Acute Care Hospitals
3389,11,Voluntary non-profit - Other
3389,12,Yes
3389,13,Pneumonia
3389,14,PN-2
3389,15,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
3389,16,98%
3389,17,83 patients
3389,18,AZ_PN-2
3398,2,30033
3398,3,PAYSON REGIONAL MEDICAL CENTER
3398,4,807 SOUTH PONDEROSA DRIVE
3398,5,PAYSON
3398,6,AZ
3398,7,85541
3398,8,GILA
3398,9,9284743222
3398,10,Acute Care Hospitals
3398,11,Voluntary non-profit - Other
3398,12,Yes
3398,13,Surgical Infection Prevention
3398,14,SCIP-INF-3
3398,15,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
3398,16,93%
3398,17,59 patients
3398,18,AZ_SCIP-INF-3
3400,2,30033
3400,3,PAYSON REGIONAL MEDICAL CENTER
3400,4,807 SOUTH PONDEROSA DRIVE
3400,5,PAYSON
3400,6,AZ
3400,7,85541
3400,8,GILA
3400,9,9284743222
3400,10,Acute Care Hospitals
3400,11,Voluntary non-profit - Other
3400,12,Yes
3400,13,Surgical Infection Prevention
3400,14,SCIP-INF-6
3400,15,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor)
3400,16,100%
3400,17,166 patients
3400,18,AZ_SCIP-INF-6
3419,2,30036
3419,3,CHANDLER REGIONAL MEDICAL CENTER
3419,4,475 SOUTH DOBSON ROAD
3419,5,CHANDLER
3419,6,AZ
3419,7,85224
3419,8,MARICOPA
3419,9,4809634561
3419,10,Acute Care Hospitals
3419,11,Voluntary non-profit - Other
3419,12,Yes
3419,13,Pneumonia
3419,14,PN-7
3419,15,Pneumonia Patients Assessed and Given Influenza Vaccination
3419,16,94%
3419,17,83 patients
3419,18,AZ_PN-7
3428,2,30037
3428,3,ST LUKES MEDICAL CENTER
3428,4,1800 EAST VAN BUREN STREET
3428,5,PHOENIX
3428,6,AZ
3428,7,85006
3428,8,MARICOPA
3428,9,6022518156
3428,10,Acute Care Hospitals
3428,11,Proprietary
3428,12,No
3428,13,Heart Attack
3428,14,AMI-1
3428,15,Heart Attack Patients Given Aspirin at Arrival
3428,16,100%
3428,17,68 patients
3428,18,AZ_AMI-1
3442,2,30037
3442,3,ST LUKES MEDICAL CENTER
3442,4,1800 EAST VAN BUREN STREET
3442,5,PHOENIX
3442,6,AZ
3442,7,85006
3442,8,MARICOPA
3442,9,6022518156
3442,10,Acute Care Hospitals
3442,11,Proprietary
3442,12,No
3442,13,Pneumonia
3442,14,PN-5C
3442,15,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
3442,16,92%
3442,17,163 patients
3442,18,AZ_PN-5C
3444,2,30037
3444,3,ST LUKES MEDICAL CENTER
3444,4,1800 EAST VAN BUREN STREET
3444,5,PHOENIX
3444,6,AZ
3444,7,85006
3444,8,MARICOPA
3444,9,6022518156
3444,10,Acute Care Hospitals
3444,11,Proprietary
3444,12,No
3444,13,Pneumonia
3444,14,PN-7
3444,15,Pneumonia Patients Assessed and Given Influenza Vaccination
3444,16,90%
3444,17,92 patients
3444,18,AZ_PN-7
3451,2,30037
3451,3,ST LUKES MEDICAL CENTER
3451,4,1800 EAST VAN BUREN STREET
3451,5,PHOENIX
3451,6,AZ
3451,7,85006
3451,8,MARICOPA
3451,9,6022518156
3451,10,Acute Care Hospitals
3451,11,Proprietary
3451,12,No
3451,13,Surgical Infection Prevention
3451,14,SCIP-VTE-1
3451,15,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
3451,16,92%
3451,17,304 patients
3451,18,AZ_SCIP-VTE-1
3453,2,30038
3453,3,SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER
3453,4,7400 EAST OSBORN ROAD
3453,5,SCOTTSDALE
3453,6,AZ
3453,7,85251
3453,8,MARICOPA
3453,9,4808824000
3453,10,Acute Care Hospitals
3453,11,Proprietary
3453,12,Yes
3453,13,Heart Attack
3453,14,AMI-1
3453,15,Heart Attack Patients Given Aspirin at Arrival
3453,16,100%
3453,17,185 patients
3453,18,AZ_AMI-1
3466,2,30038
3466,3,SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER
3466,4,7400 EAST OSBORN ROAD
3466,5,SCOTTSDALE
3466,6,AZ
3466,7,85251
3466,8,MARICOPA
3466,9,4808824000
3466,10,Acute Care Hospitals
3466,11,Proprietary
3466,12,Yes
3466,13,Pneumonia
3466,14,PN-4
3466,15,Pneumonia Patients Given Smoking Cessation Advice/Counseling
3466,16,100%
3466,17,54 patients
3466,18,AZ_PN-4
3471,2,30038
3471,3,SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER
3471,4,7400 EAST OSBORN ROAD
3471,5,SCOTTSDALE
3471,6,AZ
3471,7,85251
3471,8,MARICOPA
3471,9,4808824000
3471,10,Acute Care Hospitals
3471,11,Proprietary
3471,12,Yes
3471,13,Surgical Infection Prevention
3471,14,SCIP-INF-1
3471,15,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
3471,16,93%
3471,17,399 patients
3471,18,AZ_SCIP-INF-1
3481,2,30043
3481,3,SIERRA VISTA REGIONAL HEALTH CENTER INC
3481,4,300 EL CAMINO REAL
3481,5,SIERRA VISTA
3481,6,AZ
3481,7,85635
3481,8,COCHISE
3481,9,5204584641
3481,10,Acute Care Hospitals
3481,11,Voluntary non-profit - Other
3481,12,Yes
3481,13,Surgical Infection Prevention
3481,14,SCIP-INF-4
3481,15,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
3481,16,
3481,17,0 patients
3481,18,AZ_SCIP-INF-4
3494,2,30055
3494,3,KINGMAN REGIONAL MEDICAL CENTER
3494,4,3269 STOCKTON HILL ROAD
3494,5,KINGMAN
3494,6,AZ
3494,7,86409
3494,8,MOHAVE
3494,9,9287572101
3494,10,Acute Care Hospitals
3494,11,Government - Hospital District or Authority
3494,12,Yes
3494,13,Heart Failure
3494,14,HF-3
3494,15,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
3494,16,94%
3494,17,111 patients
3494,18,AZ_HF-3
3512,2,30061
3512,3,BANNER BOSWELL MEDICAL CENTER
3512,4,10401 WEST THUNDERBIRD BOULEVARD
3512,5,SUN CITY
3512,6,AZ
3512,7,85351
3512,8,MARICOPA
3512,9,6239777211
3512,10,Acute Care Hospitals
3512,11,Voluntary non-profit - Other
3512,12,Yes
3512,13,Heart Attack
3512,14,AMI-3
3512,15,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
3512,16,84%
3512,17,44 patients
3512,18,AZ_AMI-3
3515,2,30061
3515,3,BANNER BOSWELL MEDICAL CENTER
3515,4,10401 WEST THUNDERBIRD BOULEVARD
3515,5,SUN CITY
3515,6,AZ
3515,7,85351
3515,8,MARICOPA
3515,9,6239777211
3515,10,Acute Care Hospitals
3515,11,Voluntary non-profit - Other
3515,12,Yes
3515,13,Heart Attack
3515,14,AMI-7A
3515,15,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
3515,16,
3515,17,0 patients
3515,18,AZ_AMI-7A
3522,2,30061
3522,3,BANNER BOSWELL MEDICAL CENTER
3522,4,10401 WEST THUNDERBIRD BOULEVARD
3522,5,SUN CITY
3522,6,AZ
3522,7,85351
3522,8,MARICOPA
3522,9,6239777211
3522,10,Acute Care Hospitals
3522,11,Voluntary non-profit - Other
3522,12,Yes
3522,13,Pneumonia
3522,14,PN-3B
3522,15,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
3522,16,97%
3522,17,105 patients
3522,18,AZ_PN-3B
3525,2,30061
3525,3,BANNER BOSWELL MEDICAL CENTER
3525,4,10401 WEST THUNDERBIRD BOULEVARD
3525,5,SUN CITY
3525,6,AZ
3525,7,85351
3525,8,MARICOPA
3525,9,6239777211
3525,10,Acute Care Hospitals
3525,11,Voluntary non-profit - Other
3525,12,Yes
3525,13,Pneumonia
3525,14,PN-6
3525,15,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
3525,16,91%
3525,17,94 patients
3525,18,AZ_PN-6
3552,2,30062
3552,3,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER
3552,4,2200 SHOW LOW LAKE ROAD
3552,5,SHOW LOW
3552,6,AZ
3552,7,85901
3552,8,NAVAJO
3552,9,9285374375
3552,10,Acute Care Hospitals
3552,11,Voluntary non-profit - Private
3552,12,Yes
3552,13,Surgical Infection Prevention
3552,14,SCIP-CARD-2
3552,15,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
3552,16,68%
3552,17,31 patients
3552,18,AZ_SCIP-CARD-2
3573,2,30064
3573,3,UNIVERSITY MEDICAL CENTER
3573,4,1501 NORTH CAMPBELL AVENUE
3573,5,TUCSON
3573,6,AZ
3573,7,85724
3573,8,PIMA
3573,9,5206940111
3573,10,Acute Care Hospitals
3573,11,Voluntary non-profit - Private
3573,12,Yes
3573,13,Heart Failure
3573,14,HF-4
3573,15,Heart Failure Patients Given Smoking Cessation Advice/Counseling
3573,16,100%
3573,17,51 patients
3573,18,AZ_HF-4
3580,2,30064
3580,3,UNIVERSITY MEDICAL CENTER
3580,4,1501 NORTH CAMPBELL AVENUE
3580,5,TUCSON
3580,6,AZ
3580,7,85724
3580,8,PIMA
3580,9,5206940111
3580,10,Acute Care Hospitals
3580,11,Voluntary non-profit - Private
3580,12,Yes
3580,13,Surgical Infection Prevention
3580,14,SCIP-CARD-2
3580,15,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
3580,16,95%
3580,17,80 patients
3580,18,AZ_SCIP-CARD-2
3582,2,30064
3582,3,UNIVERSITY MEDICAL CENTER
3582,4,1501 NORTH CAMPBELL AVENUE
3582,5,TUCSON
3582,6,AZ
3582,7,85724
3582,8,PIMA
3582,9,5206940111
3582,10,Acute Care Hospitals
3582,11,Voluntary non-profit - Private
3582,12,Yes
3582,13,Surgical Infection Prevention
3582,14,SCIP-INF-2
3582,15,surgery patients who were given the  right kind  of antibiotic to help prevent infection
3582,16,97%
3582,17,390 patients
3582,18,AZ_SCIP-INF-2
3586,2,30064
3586,3,UNIVERSITY MEDICAL CENTER
3586,4,1501 NORTH CAMPBELL AVENUE
3586,5,TUCSON
3586,6,AZ
3586,7,85724
3586,8,PIMA
3586,9,5206940111
3586,10,Acute Care Hospitals
3586,11,Voluntary non-profit - Private
3586,12,Yes
3586,13,Surgical Infection Prevention
3586,14,SCIP-VTE-1
3586,15,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
3586,16,97%
3586,17,177 patients
3586,18,AZ_SCIP-VTE-1
3599,2,30065
3599,3,BANNER DESERT MEDICAL CENTER
3599,4,1400 SOUTH  DOBSON ROAD
3599,5,MESA
3599,6,AZ
3599,7,85202
3599,8,MARICOPA
3599,9,4805123000
3599,10,Acute Care Hospitals
3599,11,Voluntary non-profit - Private
3599,12,Yes
3599,13,Heart Failure
3599,14,HF-2
3599,15,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
3599,16,99%
3599,17,268 patients
3599,18,AZ_HF-2
3619,2,30067
3619,3,LA PAZ REGIONAL HOSPITAL
3619,4,1200 MOHAVE ROAD
3619,5,PARKER
3619,6,AZ
3619,7,85344
3619,8,LA PAZ
3619,9,9286697300
